"TIME","GEO","VICTIM","UNIT","Value","Flag and Footnotes"
"2001","Liechtenstein","Killed","Number","2",""
"2001","Liechtenstein","Killed","Per million inhabitants","61",""
"2001","Liechtenstein","Injured","Number","169",""
"2001","Liechtenstein","Injured","Per million inhabitants","5,143",""
"2001","Norway","Killed","Number",":",""
"2001","Norway","Killed","Per million inhabitants",":",""
"2001","Norway","Injured","Number",":",""
"2001","Norway","Injured","Per million inhabitants",":",""
"2001","Switzerland","Killed","Number","544",""
"2001","Switzerland","Killed","Per million inhabitants","76",""
"2001","Switzerland","Injured","Number","30,160",""
"2001","Switzerland","Injured","Per million inhabitants","4,187",""
"2001","Turkey","Killed","Number","4,386",""
"2001","Turkey","Killed","Per million inhabitants","65",""
"2001","Turkey","Injured","Number","116,203",""
"2001","Turkey","Injured","Per million inhabitants","1,711",""
"2002","Belgium","Killed","Number","1,353",""
"2002","Belgium","Killed","Per million inhabitants","131",""
"2002","Belgium","Injured","Number","64,989",""
"2002","Belgium","Injured","Per million inhabitants","6,304",""
"2002","Bulgaria","Killed","Number",":",""
"2002","Bulgaria","Killed","Per million inhabitants",":",""
"2002","Bulgaria","Injured","Number",":",""
"2002","Bulgaria","Injured","Per million inhabitants",":",""
"2002","Czechia","Killed","Number","1,431",""
"2002","Czechia","Killed","Per million inhabitants","140",""
"2002","Czechia","Injured","Number","34,389",""
"2002","Czechia","Injured","Per million inhabitants","3,371",""
"2002","Denmark","Killed","Number","463",""
"2002","Denmark","Killed","Per million inhabitants","86",""
"2002","Denmark","Injured","Number","8,791",""
"2002","Denmark","Injured","Per million inhabitants","1,638",""
"2002","Germany (until 1990 former territory of the FRG)","Killed","Number","6,842",""
"2002","Germany (until 1990 former territory of the FRG)","Killed","Per million inhabitants","83",""
"2002","Germany (until 1990 former territory of the FRG)","Injured","Number","476,413",""
"2002","Germany (until 1990 former territory of the FRG)","Injured","Per million inhabitants","5,779",""
"2002","Estonia","Killed","Number","223",""
"2002","Estonia","Killed","Per million inhabitants","161",""
"2002","Estonia","Injured","Number","2,868",""
"2002","Estonia","Injured","Per million inhabitants","2,073",""
"2002","Ireland","Killed","Number","376",""
"2002","Ireland","Killed","Per million inhabitants","96",""
"2002","Ireland","Injured","Number","9,206",""
"2002","Ireland","Injured","Per million inhabitants","2,361",""
"2002","Greece","Killed","Number","1,634",""
"2002","Greece","Killed","Per million inhabitants","150",""
"2002","Greece","Injured","Number","22,459",""
"2002","Greece","Injured","Per million inhabitants","2,063",""
"2002","Spain","Killed","Number","5,347",""
"2002","Spain","Killed","Per million inhabitants","130",""
"2002","Spain","Injured","Number","146,917",""
"2002","Spain","Injured","Per million inhabitants","3,580",""
"2002","France","Killed","Number","7,498",""
"2002","France","Killed","Per million inhabitants","122",""
"2002","France","Injured","Number","137,839",""
"2002","France","Injured","Per million inhabitants","2,244",""
"2002","Croatia","Killed","Number","627",""
"2002","Croatia","Killed","Per million inhabitants","146",""
