"TIME","GEO","VEHICLE","UNIT","Value","Flag and Footnotes"
"2001","Germany (until 1990 former territory of the FRG)","Motorcycles","Per thousand inhabitants",":",""
"2001","Germany (until 1990 former territory of the FRG)","Passenger cars","Number","43,772,260",""
"2001","Germany (until 1990 former territory of the FRG)","Passenger cars","Per thousand inhabitants","531",""
"2001","Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses","Number","86,656",""
"2001","Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Germany (until 1990 former territory of the FRG)","Special vehicles","Number","665,231",""
"2001","Germany (until 1990 former territory of the FRG)","Special vehicles","Per thousand inhabitants",":",""
"2001","Estonia","All vehicles (except trailers and motorcycles)","Number",":",""
"2001","Estonia","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Estonia","Total utility vehicles","Number",":",""
"2001","Estonia","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Estonia","Lorries","Number","80,535",""
"2001","Estonia","Lorries","Per thousand inhabitants",":",""
"2001","Estonia","Road tractors","Number",":",""
"2001","Estonia","Road tractors","Per thousand inhabitants",":",""
"2001","Estonia","Trailers and semi-trailers","Number","36,745",""
"2001","Estonia","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Estonia","Motorcycles","Number","6,900",""
"2001","Estonia","Motorcycles","Per thousand inhabitants",":",""
"2001","Estonia","Passenger cars","Number","407,300",""
"2001","Estonia","Passenger cars","Per thousand inhabitants","294",""
"2001","Estonia","Motor coaches, buses and trolley buses","Number","5,542",""
"2001","Estonia","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Estonia","Special vehicles","Number",":",""
"2001","Estonia","Special vehicles","Per thousand inhabitants",":",""
"2001","Ireland","All vehicles (except trailers and motorcycles)","Number",":",""
"2001","Ireland","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Ireland","Total utility vehicles","Number",":",""
"2001","Ireland","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Ireland","Lorries","Number","219,500",""
"2001","Ireland","Lorries","Per thousand inhabitants",":",""
"2001","Ireland","Road tractors","Number",":",""
"2001","Ireland","Road tractors","Per thousand inhabitants",":",""
"2001","Ireland","Trailers and semi-trailers","Number",":",""
"2001","Ireland","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Ireland","Motorcycles","Number","23,600",""
"2001","Ireland","Motorcycles","Per thousand inhabitants",":",""
"2001","Ireland","Passenger cars","Number","1,384,700",""
"2001","Ireland","Passenger cars","Per thousand inhabitants","355",""
"2001","Ireland","Motor coaches, buses and trolley buses","Number","8,400",""
"2001","Ireland","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Ireland","Special vehicles","Number","36,900",""
"2001","Ireland","Special vehicles","Per thousand inhabitants",":",""
"2001","Greece","All vehicles (except trailers and motorcycles)","Number",":",""
"2001","Greece","All vehicles (except trailers and motorcycles)","Per thousand inhabitants",":",""
"2001","Greece","Total utility vehicles","Number",":",""
"2001","Greece","Total utility vehicles","Per thousand inhabitants",":",""
"2001","Greece","Lorries","Number",":",""
"2001","Greece","Lorries","Per thousand inhabitants",":",""
"2001","Greece","Road tractors","Number","9,800",""
"2001","Greece","Road tractors","Per thousand inhabitants",":",""
"2001","Greece","Trailers and semi-trailers","Number","23,531",""
"2001","Greece","Trailers and semi-trailers","Per thousand inhabitants",":",""
"2001","Greece","Motorcycles","Number","853,366",""
"2001","Greece","Motorcycles","Per thousand inhabitants",":",""
"2001","Greece","Passenger cars","Number","3,423,704",""
"2001","Greece","Passenger cars","Per thousand inhabitants","314",""
"2001","Greece","Motor coaches, buses and trolley buses","Number","27,518",""
"2001","Greece","Motor coaches, buses and trolley buses","Per thousand inhabitants",":",""
"2001","Greece","Special vehicles","Number",":",""
"2001","Greece","Special vehicles","Per thousand inhabitants",":",""
"2001","Spain","All vehicles (except trailers and motorcycles)","Number","22,503,950",""
