"TIME","GEO","TRA_INFR","UNIT","Value","Flag and Footnotes"
"2002","Poland","E-roads","Kilometre","5,500",""
"2002","Portugal","Motorways","Kilometre","1,835","d"
"2002","Portugal","E-roads","Kilometre","2,303","d"
"2002","Romania","Motorways","Kilometre","113",""
"2002","Romania","E-roads","Kilometre","5,568",""
"2002","Slovenia","Motorways","Kilometre","456",""
"2002","Slovenia","E-roads","Kilometre","618",""
"2002","Slovakia","Motorways","Kilometre","301.6",""
"2002","Slovakia","E-roads","Kilometre","1,240.6",""
"2002","Finland","Motorways","Kilometre","603",""
"2002","Finland","E-roads","Kilometre","4,241",""
"2002","Sweden","Motorways","Kilometre","1,544",""
"2002","Sweden","E-roads","Kilometre","5,293",""
"2002","United Kingdom","Motorways","Kilometre","3,592.09",""
"2002","United Kingdom","E-roads","Kilometre","3,757","d"
"2002","Iceland","Motorways","Kilometre",":",""
"2002","Iceland","E-roads","Kilometre",":",""
"2002","Norway","Motorways","Kilometre","173",""
"2002","Norway","E-roads","Kilometre",":",""
"2002","Switzerland","Motorways","Kilometre","1,342","d"
"2002","Switzerland","E-roads","Kilometre","1,391",""
"2002","Former Yugoslav Republic of Macedonia, the","Motorways","Kilometre","208",""
"2002","Former Yugoslav Republic of Macedonia, the","E-roads","Kilometre","548",""
"2002","Turkey","Motorways","Kilometre","1,714",""
"2002","Turkey","E-roads","Kilometre","5,953",""
"2003","Belgium","Motorways","Kilometre","1,729",""
"2003","Belgium","E-roads","Kilometre",":",""
"2003","Bulgaria","Motorways","Kilometre","328",""
"2003","Bulgaria","E-roads","Kilometre",":",""
"2003","Czechia","Motorways","Kilometre","518",""
"2003","Czechia","E-roads","Kilometre","2,599",""
"2003","Denmark","Motorways","Kilometre",":",""
"2003","Denmark","E-roads","Kilometre",":",""
"2003","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","12,044",""
"2003","Germany (until 1990 former territory of the FRG)","E-roads","Kilometre",":",""
"2003","Estonia","Motorways","Kilometre","98",""
"2003","Estonia","E-roads","Kilometre","426.6",""
"2003","Ireland","Motorways","Kilometre","176",""
"2003","Ireland","E-roads","Kilometre",":",""
"2003","Greece","Motorways","Kilometre",":",""
"2003","Greece","E-roads","Kilometre",":",""
"2003","Spain","Motorways","Kilometre","10,296",""
"2003","Spain","E-roads","Kilometre",":",""
"2003","France","Motorways","Kilometre","10,379",""
"2003","France","E-roads","Kilometre",":",""
"2003","Croatia","Motorways","Kilometre","754","d"
